now, expect, last_fin, now-expect, now-last_fin
8492695123999432, 8492695123738778, 8492695114022382, 260654, 9977050
8492695134002312, 8492695133738778, 8492695124059837, 263534, 9942475
8492695144034030, 8492695143738778, 8492695134026983, 295252, 10007047
8492695154003607, 8492695153738778, 8492695144063818, 264829, 9939789
8492695164033786, 8492695163738778, 8492695154028135, 295008, 10005651
8492695174005829, 8492695173738778, 8492695164058073, 267051, 9947756
8492695184033746, 8492695183738778, 8492695174030487, 294968, 10003259
8492695194007233, 8492695193738778, 8492695184058150, 268455, 9949083
8492695204035272, 8492695203738778, 8492695194034038, 296494, 10001234
8492695214008805, 8492695213738778, 8492695204059613, 270027, 9949192
8492695224040541, 8492695223738778, 8492695214033602, 301763, 10006939
8492695234007237, 8492695233738778, 8492695224065098, 268459, 9942139
8492695244051165, 8492695243738778, 8492695234032491, 312387, 10018674
8492695254005828, 8492695253738778, 8492695244075789, 267050, 9930039
8492695264046099, 8492695263738778, 8492695254030732, 307321, 10015367
8492695274004743, 8492695273738778, 8492695264070137, 265965, 9934606
8492695284044368, 8492695283738778, 8492695274028737, 305590, 10015631
8492695294003131, 8492695293738778, 8492695284067935, 264353, 9935196
8492695304027949, 8492695303738778, 8492695294026595, 289171, 10001354
8492695313999939, 8492695313738778, 8492695304050943, 261161, 9948996
8492695324031134, 8492695323738778, 8492695314022983, 292356, 10008151
8492695334002877, 8492695333738778, 8492695324054171, 264099, 9948706
8492695344033042, 8492695343738778, 8492695334026198, 294264, 10006844
8492695354006432, 8492695353738778, 8492695344056156, 267654, 9950276
8492695364034197, 8492695363738778, 8492695354030216, 295419, 10003981
8492695374010867, 8492695373738778, 8492695364058307, 272089, 9952560
8492695384042592, 8492695383738778, 8492695374035504, 303814, 10007088
8492695394011364, 8492695393738778, 8492695384067040, 272586, 9944324
8492695404039056, 8492695403738778, 8492695394035868, 300278, 10003188
8492695414014160, 8492695413738778, 8492695404063687, 275382, 9950473
8492695424047175, 8492695423738778, 8492695414040994, 308397, 10006181
8492695434012154, 8492695433738778, 8492695424071796, 273376, 9940358
8492695444044349, 8492695443738778, 8492695434037071, 305571, 10007278
8492695454013560, 8492695453738778, 8492695444084707, 274782, 9928853
8492695464042730, 8492695463738778, 8492695454038297, 303952, 10004433
8492695474016727, 8492695473738778, 8492695464067074, 277949, 9949653
8492695484044256, 8492695483738778, 8492695474041564, 305478, 10002692
8492695494017123, 8492695493738778, 8492695484068630, 278345, 9948493
8492695504047103, 8492695503738778, 8492695494041861, 308325, 10005242
8492695514013714, 8492695513738778, 8492695504071417, 274936, 9942297
8492695524047833, 8492695523738778, 8492695514038504, 309055, 10009329
8492695534016801, 8492695533738778, 8492695524072337, 278023, 9944464
8492695544048960, 8492695543738778, 8492695534041542, 310182, 10007418
8492695554017450, 8492695553738778, 8492695544073271, 278672, 9944179
8492695564050227, 8492695563738778, 8492695554042255, 311449, 10007972
8492695574015391, 8492695573738778, 8492695564074691, 276613, 9940700
8492695584047843, 8492695583738778, 8492695574040078, 309065, 10007765
8492695594017114, 8492695593738778, 8492695584072151, 278336, 9944963
8492695604047331, 8492695603738778, 8492695594041888, 308553, 10005443
8492695614018918, 8492695613738778, 8492695604071941, 280140, 9946977
8492695624060343, 8492695623738778, 8492695614043629, 321565, 10016714
8492695634019750, 8492695633738778, 8492695624085544, 280972, 9934206
8492695644058615, 8492695643738778, 8492695634044537, 319837, 10014078
8492695654019967, 8492695653738778, 8492695644083169, 281189, 9936798
